surname,eg
NYALIAKA,luhya
EPUWO,turkana
SOLOMON,luhya
NAPATIO,turkana
MURASI,luhya
NAMASAKA,luhya
WACHIE,luhya
NEKESA,luhya
KUNEKEYA,luhya
NAMIRANDA,luhya
SIKARA,luhya
NANG'ENI,luhya
NYASITA,turkana
MORAN,kisii
LAWI,turkana
AKORI,turkana
LOKOEN,turkana
BOKE,kuria
ANNEN,kuria
WANGURU,kuria
MWITA,kuria
OTUGI,kisii
ODHIAMBO,luo
IKAYO,masai
KERUBO,kisii
LOKISHON,masai
NGUMA,kuria
JULIUS,kalenjin
CHIPONGONI,kalenjin
LINUS,kalenjin
VERA,kalenjin
NAFULA,kalenjin
CHEBET,kalenjin
CHEPTER,kalenjin
KEPKEMOI,kalenjin
RENDA,kalenjin
CHEPKIRIR,kalenjin
IRUNGU,kikuyu
IRUNGU,kikuyu
MWANGI,kikuyu
CHEGE,kikuyu
MWANGI,kikuyu
WANJOHI,kikuyu
MWAGI,kikuyu
CHEGE,kikuyu
MUNYOKI,meru
AGISA,luhya
MURIUKI,meru
KAJUJU,meru
KAMBUA,meru
MUGAMBI,meru
TAWAI,luhya
KAWIRA,meru
KAROKI,meru
MUNENE,meru
ASURA,kisii
KILUSU,masai
SIKAWA,masai
KATIKAI,masai
KITUR,kalenjin
KIPTUYA,kalenjin
KORIR,kalenjin
TANUI,kalenjin
NGETICH,kalenjin
MUTHONI,meru
ANDILU,meru
KAWIRA,meru
ADHIAMBO,luo
MAKHARA,luhya
WANJALA,luhya
AWINO,luhya
BENEDICT,luhya
OPOTI,luhya
FAMBI,luhya
KEMUNTO,kalenjin
WASIKE,luhya
KIPROTICH,kalenjin
KWENO,luhya
KAYEKE,luhya
BARASA,luhya
KIMILE,luhya
KHASANDI,luhya
ATIENO,luo
NAFULA,luhya
LETELEI,masai
MUSIMBI,luhya
BOSIBORI,kisii
KAKENYA,masai
OKINDO,kisii
LEPARA,masai
KATIU,masai
MEREU,masai
OCHIENG,luo
MUSIMBI,luhya
ASIYA,luhya
